massa_A
a


7.112926825E0
7.775837425E0
1.340733748E1
7.861622386E0
1.094952799E1
1.366702393E1
8.934669739E0
7.765315955E0
1.251392249E1
1.941998518E1
1.207234059E1
9.465408064E0
1.192808836E1
9.746934976E0
8.892716307E0
9.701006254E0
1.081614742E1
1.540393194E1
1.155944117E1
1.193672100E1
1.443275027E1
1.563342776E1
1.237482834E1
8.009704111E0
6.465852016E0
1.077475780E1
1.081735355E1
1.558462419E1
1.200896607E1
1.372468543E1
1.058184905E1
1.272827473E1
1.026491758E1
6.952895634E0
7.942183653E0
1.097545939E1
1.186265774E1
1.034744885E1
2.792626020E1
1.143449947E1
2.017531630E1
2.072267747E1
2.817071167E1
9.900811826E0
1.139358558E1
1.556644939E1
1.014623384E1
1.170926671E1
1.158016736E1
1.375953163E1
1.347413532E1
1.213636868E1
1.132062508E1
1.207366283E1
1.177632670E1
1.054060712E1
1.198731509E1
1.267495883E1
9.823829033E0
8.044953566E0
1.229783355E1
1.170493942E1
1.839615374E1
1.565105731E1
5.304171995E0


